run_dir,method,regime,seed,use_lilac,apply_thresholds,raw_context,canonical_context,episodes,r_mean,r_std,l_mean,l_std,violation_count_mean,violation_count_std,near_miss_count_mean,near_miss_count_std,shield_count_mean,shield_count_std,action_correction_mean_mean,action_correction_mean_std,reward_penalty_sum_mean,reward_penalty_sum_std
runs_thesis\baseline_sac_nonstationary_seen_s0,baseline_sac,nonstationary_seen,0,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",111.0,183.60110087387386,55.40435918879636,179.7027027027027,52.42181964074857,166.54054054054055,49.26307556629625,10.063063063063064,12.967287008103598,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\baseline_sac_nonstationary_seen_s1,baseline_sac,nonstationary_seen,1,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",110.0,186.65957480909088,53.12731590663538,180.63636363636363,49.02643497242163,166.34545454545454,45.57007636468515,7.627272727272727,6.627519899380202,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\baseline_sac_nonstationary_seen_s2,baseline_sac,nonstationary_seen,2,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",106.0,192.53858208490567,45.01694515986143,188.43396226415095,41.179055903496916,166.69811320754718,37.62905913843987,9.122641509433961,14.521381824703598,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\baseline_sac_nonstationary_unseen_s0,baseline_sac,nonstationary_unseen,0,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",109.0,186.77720609174315,52.88437350658457,183.42201834862385,50.02042056666785,162.10091743119267,44.52463840478048,6.174311926605505,6.674778449225513,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\baseline_sac_nonstationary_unseen_s1,baseline_sac,nonstationary_unseen,1,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",106.0,189.4749238679245,47.96040786180863,187.21698113207546,44.49141270102551,164.0943396226415,39.309160037999824,4.764150943396227,4.01082318303494,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\baseline_sac_nonstationary_unseen_s2,baseline_sac,nonstationary_unseen,2,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",107.0,185.11718947663553,54.042898074549946,185.90654205607476,48.42608308376261,163.05607476635515,42.90749852566805,5.579439252336448,6.146079258245324,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\baseline_sac_stationary_s0,baseline_sac,stationary,0,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",103.0,197.8197158446602,36.145526494565296,193.29126213592232,31.87863968238353,180.46601941747574,30.830598352674457,18.58252427184466,21.939097641659913,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\baseline_sac_stationary_s1,baseline_sac,stationary,1,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",103.0,196.38887664077672,37.91394189177549,192.28155339805826,32.70018812553912,174.96116504854368,30.629641650678227,7.592233009708738,15.722742921156666,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\baseline_sac_stationary_s2,baseline_sac,stationary,2,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",108.0,186.37433482407408,55.4902538525873,184.65740740740742,48.782975818047866,165.61111111111111,44.29675487224587,7.212962962962963,8.544606350257363,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_nonstationary_seen_s0,lilac_none,nonstationary_seen,0,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",109.0,186.26024870642203,56.98572369770055,182.8165137614679,52.76224890919481,165.3119266055046,48.95286796874044,12.954128440366972,15.851968753240739,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_nonstationary_seen_s1,lilac_none,nonstationary_seen,1,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",108.0,184.37736170370368,51.42884802762207,183.77777777777777,49.73863150685244,162.7314814814815,44.69389271905985,10.675925925925926,16.37916884435364,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_nonstationary_seen_s2,lilac_none,nonstationary_seen,2,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",102.0,198.91242340196084,31.739462875358146,195.6764705882353,24.98481192692631,178.73529411764707,25.230394396397905,13.284313725490197,16.46861849302845,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_nonstationary_unseen_s0,lilac_none,nonstationary_unseen,0,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",106.0,189.31047461320753,44.97275028268741,188.47169811320754,41.12656598197692,169.00943396226415,38.21729732614076,15.084905660377359,19.48631652970302,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_nonstationary_unseen_s1,lilac_none,nonstationary_unseen,1,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",107.0,186.50109838317755,47.65155036018018,185.9158878504673,44.70429498916038,161.07476635514018,39.73727420231288,5.990654205607477,7.241775200773873,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_nonstationary_unseen_s2,lilac_none,nonstationary_unseen,2,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",107.0,184.6284807102804,49.26681035876076,186.22429906542055,44.1921850026217,159.66355140186917,38.32259886144172,3.0934579439252334,2.512357046643326,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_stationary_s0,lilac_none,stationary,0,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",104.0,195.66882478846156,36.59138034818033,191.93269230769232,33.0557823395418,169.8653846153846,30.647085321210994,4.0673076923076925,2.920514727464717,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_stationary_s1,lilac_none,stationary,1,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",112.0,139.41215167857143,79.40195677672462,178.07142857142858,55.500947850962085,154.34821428571428,53.47335950697951,3.517857142857143,10.762783844689817,0.0,0.0,0.0,0.0,0.0,0.0
runs_thesis\lilac_none_stationary_s2,lilac_none,stationary,2,True,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",105.0,191.27991284761907,47.79518016109345,188.72380952380954,43.530160905111615,156.57142857142858,37.915862608710846,3.5142857142857142,1.9957372154086401,0.0,0.0,0.0,0.0,0.0,0.0
