method,p_stay,steps_since_switch,near_miss_rate,violation_rate,shield_used_rate,clearance_mean,n
baseline,0.5,0,0.0,1.0,0.0,6.81412343593559,99
baseline,0.5,1,0.3333333333333333,0.6666666666666666,0.0,30.285891083996706,99
baseline,0.5,2,0.6161616161616161,0.3838383838383838,0.0,51.54354039683487,99
baseline,0.5,3,0.8282828282828283,0.16161616161616163,0.0,71.73535122919564,99
baseline,0.5,4,0.8585858585858586,0.10101010101010101,0.0,90.81744384445807,99
baseline,0.5,5,0.797979797979798,0.06060606060606061,0.0,111.66228033890388,99
baseline,0.5,6,0.7878787878787878,0.010101010101010102,0.0,131.97582204620926,99
baseline,0.5,7,0.6060606060606061,0.010101010101010102,0.0,151.48985488573067,99
baseline,0.5,8,0.45454545454545453,0.010101010101010102,0.0,172.85787080271558,99
baseline,0.5,9,0.3333333333333333,0.010101010101010102,0.0,191.8348620580551,99
baseline,0.95,0,0.0,1.0,0.0,1.8270552635192967,8
baseline,0.95,1,0.25,0.75,0.0,24.500035357475294,8
baseline,0.95,2,0.625,0.375,0.0,51.44895337820056,8
baseline,0.95,3,0.75,0.25,0.0,75.17377678155901,8
baseline,0.95,4,0.875,0.125,0.0,93.37106752395633,8
baseline,0.95,5,0.875,0.125,0.0,110.0448397278786,8
baseline,0.95,6,1.0,0.0,0.0,131.95258797407155,8
baseline,0.95,7,0.5,0.0,0.0,158.6131060957909,8
baseline,0.95,8,0.375,0.0,0.0,174.23488680632911,8
baseline,0.95,9,0.125,0.0,0.0,199.83109011650086,8
cpss_only,0.5,0,0.0,1.0,1.0,-10.007551790487886,99
cpss_only,0.5,1,0.0,1.0,0.25252525252525254,18.432824645379576,99
cpss_only,0.5,2,0.31313131313131315,0.6868686868686869,0.10101010101010101,33.938675590476606,99
cpss_only,0.5,3,0.6262626262626263,0.37373737373737376,0.020202020202020204,54.29390130283857,99
cpss_only,0.5,4,0.8383838383838383,0.15151515151515152,0.020202020202020204,75.23362622116551,99
cpss_only,0.5,5,0.8787878787878788,0.09090909090909091,0.0,96.01155469128902,99
cpss_only,0.5,6,0.8888888888888888,0.010101010101010102,0.0,118.45955147309736,99
cpss_only,0.5,7,0.7373737373737373,0.0,0.0,140.96046470544474,99
cpss_only,0.5,8,0.5555555555555556,0.0,0.0,161.99830205219925,99
cpss_only,0.5,9,0.42424242424242425,0.0,0.0,182.5037221969579,99
cpss_only,0.95,0,0.0,1.0,1.0,-10.359306573867798,8
cpss_only,0.95,1,0.0,1.0,0.0,17.955730438232422,8
cpss_only,0.95,2,0.5,0.5,0.0,36.48978147506714,8
cpss_only,0.95,3,0.75,0.25,0.125,61.640041959285725,8
cpss_only,0.95,4,0.875,0.125,0.0,92.36199040412902,8
cpss_only,0.95,5,0.875,0.0,0.0,120.39473103284836,8
cpss_only,0.95,6,0.625,0.125,0.0,136.65219470262525,8
cpss_only,0.95,7,0.5,0.0,0.0,152.5589838862419,8
cpss_only,0.95,8,0.25,0.0,0.0,183.2988677501678,8
cpss_only,0.95,9,0.125,0.0,0.0,200.98658684492108,8
full,0.5,0,0.0,1.0,1.0,-10.007551790487886,99
full,0.5,1,0.0,1.0,1.0,18.432824645379576,99
full,0.5,2,0.050505050505050504,0.9494949494949495,0.9696969696969697,32.74936356207337,99
full,0.5,3,0.7777777777777778,0.2222222222222222,0.45454545454545453,48.23039503290196,99
full,0.5,4,0.9797979797979798,0.020202020202020204,0.08080808080808081,73.66742931327435,99
full,0.5,5,0.9797979797979798,0.0,0.030303030303030304,95.83843597161649,99
full,0.5,6,0.9090909090909091,0.0,0.020202020202020204,117.5559954556552,99
full,0.5,7,0.797979797979798,0.0,0.0,141.06381091498687,99
full,0.5,8,0.5555555555555556,0.0,0.010101010101010102,162.1132985055198,99
full,0.5,9,0.37373737373737376,0.0,0.010101010101010102,183.41235091903636,99
full,0.95,0,0.0,1.0,1.0,-10.359306573867798,8
full,0.95,1,0.0,1.0,1.0,17.955730438232422,8
full,0.95,2,0.0,1.0,1.0,31.82533073425293,8
full,0.95,3,0.625,0.375,0.875,45.9114465713501,8
full,0.95,4,1.0,0.0,0.0,73.35662790536881,8
full,0.95,5,1.0,0.0,0.0,101.4179232954979,8
full,0.95,6,1.0,0.0,0.0,127.52829090356826,8
full,0.95,7,0.875,0.0,0.0,153.04389771223066,8
full,0.95,8,0.375,0.0,0.0,178.70470348596572,8
full,0.95,9,0.25,0.0,0.0,205.73323705673218,8
lilac_only,0.5,0,0.0,1.0,0.0,6.81412343593559,99
lilac_only,0.5,1,0.3333333333333333,0.6666666666666666,0.0,30.285891083996706,99
lilac_only,0.5,2,0.6161616161616161,0.3838383838383838,0.0,51.54354039683487,99
lilac_only,0.5,3,0.8282828282828283,0.16161616161616163,0.0,71.73535122919564,99
lilac_only,0.5,4,0.8585858585858586,0.10101010101010101,0.0,90.81744384445807,99
lilac_only,0.5,5,0.797979797979798,0.06060606060606061,0.0,111.66228033890388,99
lilac_only,0.5,6,0.7878787878787878,0.010101010101010102,0.0,131.97582204620926,99
lilac_only,0.5,7,0.6060606060606061,0.010101010101010102,0.0,151.48985488573067,99
lilac_only,0.5,8,0.45454545454545453,0.010101010101010102,0.0,172.85787080271558,99
lilac_only,0.5,9,0.3333333333333333,0.010101010101010102,0.0,191.8348620580551,99
lilac_only,0.95,0,0.0,1.0,0.0,1.8270552635192967,8
lilac_only,0.95,1,0.25,0.75,0.0,24.500035357475294,8
lilac_only,0.95,2,0.625,0.375,0.0,51.44895337820056,8
lilac_only,0.95,3,0.75,0.25,0.0,75.17377678155901,8
lilac_only,0.95,4,0.875,0.125,0.0,93.37106752395633,8
lilac_only,0.95,5,0.875,0.125,0.0,110.0448397278786,8
lilac_only,0.95,6,1.0,0.0,0.0,131.95258797407155,8
lilac_only,0.95,7,0.5,0.0,0.0,158.6131060957909,8
lilac_only,0.95,8,0.375,0.0,0.0,174.23488680632911,8
lilac_only,0.95,9,0.125,0.0,0.0,199.83109011650086,8
